AT1G01060.1	Traes_7DL_310E46F15.3	37.852	745	336	23	1	645	1	718	9.35e-106	337
AT1G01060.1	Traes_7BL_998EC9F74.2	38.223	743	329	24	1	645	1	711	2.49e-98	317
AT1G01060.1	Traes_7AL_19F222799.2	37.703	740	330	24	1	633	1	716	3.00e-96	312
AT1G01060.1	Traes_6BL_2F2381640.1	73.333	75	20	0	2	76	27	101	3.38e-34	126
AT1G01060.1	Traes_7AL_665B92F4E.1	59.712	139	45	4	1	136	18	148	1.78e-32	132
AT1G01060.1	Traes_7BL_BA181D2AD.2	62.903	124	36	3	15	136	84	199	5.38e-32	129
AT1G01060.1	Traes_7DL_1D415A4CF.2	59.712	139	45	4	1	136	137	267	9.73e-32	131
AT1G01060.1	Traes_2BL_3041037F1.1	71.233	73	21	0	2	74	17	89	6.89e-29	120
AT1G01060.1	Traes_2DL_31EED5C94.1	71.233	73	21	0	2	74	17	89	7.53e-29	120
AT1G01060.1	Traes_6AL_362F82EAD.2	53.535	99	36	1	13	111	20	108	1.31e-28	118
AT1G01060.1	Traes_6DL_30F715B53.2	51.887	106	41	1	6	111	124	219	2.98e-28	118
AT1G01060.1	Traes_2AL_660616C44.1	69.863	73	22	0	2	74	17	89	4.56e-28	118
AT1G01060.1	Traes_4AL_D00AB8CFA.2	48.077	104	40	2	6	105	15	108	2.10e-24	105
AT1G01060.1	Traes_7DL_AB55D9F4E.1	51.163	86	32	1	22	107	1	76	4.92e-23	99.4
AT1G01060.1	Traes_1BS_24DBD38A8.1	55.172	87	28	3	13	98	24	100	2.69e-22	97.1
AT1G01060.1	Traes_6AL_1144FC823.2	69.388	49	15	0	2	50	27	75	3.86e-18	80.9
AT1G01060.1	Traes_3AS_3C6511D69.1	70.213	47	14	0	13	59	18	64	1.54e-16	75.1
AT1G01060.1	TRAES3BF156400010CFD_t1	45.977	87	28	3	13	99	18	85	2.15e-13	72.0
AT1G01060.1	Traes_7AL_BFFEC0955.2	39.759	83	40	1	35	117	6	78	4.70e-13	70.5
AT1G01060.1	Traes_7BL_9CA974245.1	35.484	93	50	1	25	117	1	83	8.11e-13	70.1
AT1G01060.1	Traes_6BL_7E9C131F4.2	44.286	70	29	1	42	111	5	64	1.12e-12	70.1
AT1G01060.1	Traes_7AS_6A126F5F5.1	47.619	63	31	2	16	76	49	111	2.36e-12	65.1
AT1G01060.1	Traes_7AS_D0A89CDD4.1	44.615	65	26	1	42	106	31	85	1.91e-11	65.9
AT1G01060.1	Traes_1AL_FF8F7A939.1	41.026	78	37	3	1	76	10	80	4.83e-11	63.2
AT1G01060.1	Traes_7DS_BE6F1B68F.2	39.474	76	32	2	35	106	11	76	8.85e-10	60.8
AT1G01060.1	Traes_1AL_F7D2C31DB.1	33.684	95	53	3	11	95	76	170	1.53e-08	57.4
AT1G01060.1	Traes_1BL_F809FA27D.1	36.709	79	40	3	27	95	91	169	3.46e-08	56.2
AT1G01060.1	Traes_3AS_6626D4A69.1	47.917	48	23	2	27	72	5	52	6.38e-08	53.1
AT1G01060.1	Traes_1DL_6506152C8.1	36.842	76	38	3	27	92	91	166	1.46e-07	54.3
AT1G01060.1	Traes_3DS_8AF1A10AB.1	42.623	61	33	2	14	72	1	61	1.95e-07	50.1
AT1G01060.1	Traes_7AS_A822BE054.1	50.000	44	20	2	35	76	5	48	5.55e-07	50.8
AT1G01060.1	Traes_3DS_DF23FE973.1	33.721	86	51	3	15	94	17	102	6.06e-07	49.3
AT1G01060.1	Traes_3AS_794DAF12D.1	32.558	86	52	3	15	94	11	96	6.75e-07	48.9
AT1G01060.1	TRAES3BF018800030CFD_t1	39.706	68	31	4	15	72	121	188	7.41e-07	52.4
AT1G01060.1	TRAES3BF110700050CFD_t1	47.917	48	23	2	27	72	153	200	2.00e-06	51.2
AT1G01060.1	Traes_7BS_62FDC3C38.1	36.364	66	40	2	13	76	91	156	4.15e-06	48.5
